image_name,ground_truth_complexity,predicted_complexity
62.jpg,0.69,0.6514297
63.jpg,0.73,0.57453316
64.jpg,0.44,0.3987526
65.jpg,0.65,0.6166796
66.jpg,0.32,0.3109008
67.jpg,0.75,0.5004064
68.jpg,0.44,0.30387565
69.jpg,0.82,0.7522592
70.jpg,0.86,0.55184704
71.jpg,0.25,0.40161562
72.jpg,0.0,0.4272581
73.jpg,0.15,0.50561005
74.jpg,0.08,0.23092094
75.jpg,0.26,0.4561908
76.jpg,0.54,0.6696299
77.jpg,0.22,0.47499394
78.jpg,0.5,0.46899265
79.jpg,0.36,0.47267368
80.jpg,0.45,0.43991402
81.jpg,0.34,0.37604672
82.jpg,0.64,0.5720212
83.jpg,0.02,0.4355795
84.jpg,0.14,0.38779515
85.jpg,0.48,0.44124725
86.jpg,0.33,0.43090868
87.jpg,0.39,0.3780086
88.jpg,0.36,0.54061306
89.jpg,0.79,0.56066513
90.jpg,0.14,0.2803787
91.jpg,0.42,0.63263625
92.jpg,0.34,0.5767012
93.jpg,0.5,0.47972575
94.jpg,0.14,0.47882128
95.jpg,0.43,0.4812167
96.jpg,0.58,0.45207915
97.jpg,0.4,0.3689868
98.jpg,0.24,0.4005762
99.jpg,0.91,0.564428
100.jpg,0.73,0.4425911
101.jpg,0.46,0.5058073
102.jpg,0.72,0.50849754
103.jpg,0.71,0.5267605
104.jpg,0.71,0.5864796
105.jpg,0.67,0.6563093
106.jpg,0.73,0.4791402
107.jpg,0.68,0.7521238
108.jpg,0.24,0.46036202
109.jpg,0.32,0.42100537
110.jpg,0.49,0.43335944
111.jpg,0.3,0.34053105
112.jpg,0.19,0.4018297
113.jpg,0.47,0.34836754
114.jpg,0.2,0.27779838
115.jpg,0.11,0.39641404
116.jpg,0.21,0.45871192
117.jpg,0.07,0.39872038
118.jpg,0.02,0.44572535
119.jpg,0.07,0.5250341
120.jpg,0.64,0.49943617
121.jpg,0.31,0.32606637
122.jpg,0.38,0.40245065
123.jpg,0.65,0.4241483
124.jpg,0.21,0.21333115
125.jpg,0.55,0.431646
126.jpg,0.32,0.31563592
127.jpg,0.42,0.38286677
128.jpg,0.82,0.51403147
129.jpg,0.87,0.60542357
130.jpg,0.45,0.41510895
131.jpg,0.15,0.27528524
132.jpg,0.35,0.5074212
133.jpg,0.46,0.5265729
134.jpg,0.82,0.5356743
135.jpg,0.23,0.26804003
136.jpg,0.51,0.5098375
137.jpg,0.52,0.44906434
138.jpg,0.1,0.34003145
139.jpg,0.41,0.4220713
140.jpg,0.54,0.45500174
141.jpg,0.08,0.4126944
142.jpg,0.51,0.2683544
143.jpg,0.4,0.3695392
144.jpg,0.38,0.40975997
145.jpg,0.67,0.3337609
146.jpg,0.55,0.55304766
147.jpg,0.7,0.4091703
148.jpg,0.44,0.29203507
149.jpg,0.71,0.5772201
150.jpg,0.53,0.54418135
151.jpg,0.46,0.45269662
152.jpg,0.77,0.5250132
153.jpg,0.47,0.42574194
154.jpg,0.45,0.46488357
155.jpg,0.65,0.6061934
156.jpg,0.86,0.673068
157.jpg,0.89,0.7243697
158.jpg,0.63,0.55660725
159.jpg,0.46,0.4019963
160.jpg,0.23,0.4218954
161.jpg,0.83,0.5302393
162.jpg,0.42,0.43436864
163.jpg,0.33,0.3136595
164.jpg,0.27,0.5070164
165.jpg,0.83,0.5140422
166.jpg,0.41,0.35571137
167.jpg,0.16,0.45606184
168.jpg,0.31,0.40732312
169.jpg,0.33,0.49060318
170.jpg,0.5,0.50446355
171.jpg,0.61,0.47622606
172.jpg,0.43,0.60093546
173.jpg,0.63,0.6176069
174.jpg,0.54,0.49331567
175.jpg,0.62,0.5872304
176.jpg,0.34,0.42861617
177.jpg,0.19,0.41163418
178.jpg,0.87,0.5172872
179.jpg,0.71,0.5244233
180.jpg,0.45,0.44489947
181.jpg,0.31,0.4028449
182.jpg,0.37,0.53313625
183.jpg,0.87,0.53049076
184.jpg,0.55,0.4666677
185.jpg,0.6,0.37416923
186.jpg,0.8,0.50853807
187.jpg,0.89,0.6147777
188.jpg,0.22,0.48366258
189.jpg,0.48,0.47439295
190.jpg,0.07,0.27238905
191.jpg,0.13,0.3170661
192.jpg,0.22,0.35688147
193.jpg,0.53,0.41757712
194.jpg,0.34,0.3987555
195.jpg,0.21,0.34239694
196.jpg,0.48,0.5207642
197.jpg,0.73,0.5843775
198.jpg,0.6,0.720962
199.jpg,0.28,0.52426386
200.jpg,0.62,0.59869474
201.jpg,0.53,0.5135143
202.jpg,0.36,0.3070529
203.jpg,0.19,0.38815656
204.jpg,0.22,0.38178638
205.jpg,0.38,0.3535066
206.jpg,0.12,0.49005198
207.jpg,0.18,0.4714177
208.jpg,0.59,0.7109927
209.jpg,0.39,0.3776292
210.jpg,0.04,0.19526154
211.jpg,0.72,0.46944734
212.jpg,0.38,0.3798547
213.jpg,0.3,0.45966113
214.jpg,0.6,0.557003
215.jpg,0.36,0.48260215
216.jpg,0.36,0.35693422
217.jpg,0.34,0.49948585
218.jpg,0.08,0.4229825
219.jpg,0.39,0.48594853
220.jpg,0.12,0.4688454
221.jpg,0.21,0.4691481
222.jpg,0.1,0.35987362
223.jpg,0.6,0.59346074
224.jpg,0.06,0.4852545
225.jpg,0.57,0.49432698
226.jpg,0.34,0.51048374
227.jpg,0.06,0.25528178
228.jpg,0.09,0.4201952
229.jpg,0.19,0.43719587
230.jpg,0.67,0.44682002
231.jpg,0.39,0.2509227
232.jpg,0.36,0.42033488
233.jpg,0.5,0.46505147
234.jpg,0.24,0.4329702
235.jpg,0.6,0.5373798
236.jpg,0.0,0.3526707
237.jpg,0.07,0.25347725
238.jpg,0.37,0.5163019
239.jpg,0.82,0.697802
240.jpg,0.75,0.5775759
241.jpg,0.62,0.5665087
242.jpg,0.63,0.6134489
243.jpg,0.78,0.6945745
244.jpg,0.45,0.49865234
245.jpg,0.33,0.37061977
246.jpg,0.46,0.44141084
247.jpg,0.14,0.46522874
248.jpg,0.44,0.46258688
249.jpg,0.24,0.5445148
250.jpg,0.17,0.20434178
251.jpg,0.2,0.43132114
252.jpg,0.28,0.40562594
253.jpg,0.16,0.40005717
254.jpg,0.31,0.44881752
255.jpg,0.44,0.4303758
256.jpg,0.39,0.2522767
257.jpg,0.12,0.47207892
258.jpg,0.12,0.46132356
259.jpg,0.06,0.36400276
260.jpg,0.1,0.3801678
261.jpg,0.72,0.5870989
262.jpg,0.62,0.5097918
263.jpg,0.44,0.43574345
264.jpg,0.48,0.32189834
265.jpg,0.73,0.47923133
266.jpg,0.72,0.37621132
267.jpg,0.63,0.4203741
268.jpg,0.32,0.41927117
269.jpg,0.48,0.42388204
270.jpg,0.49,0.59884214
271.jpg,0.2,0.43876842
272.jpg,0.35,0.4210972
273.jpg,0.31,0.42806756
274.jpg,0.57,0.44781995
275.jpg,0.25,0.4024116
276.jpg,0.4,0.47179672
277.jpg,0.15,0.44955716
278.jpg,0.47,0.45388582
279.jpg,0.56,0.5561472
280.jpg,0.5,0.4217753
281.jpg,0.74,0.5452705
282.jpg,0.68,0.3673024
283.jpg,0.72,0.53050995
284.jpg,0.77,0.6522945
285.jpg,0.86,0.4840403
286.jpg,0.13,0.29277378
287.jpg,0.26,0.33051768
288.jpg,0.26,0.44179285
289.jpg,0.59,0.41851902
290.jpg,0.49,0.51193476
291.jpg,0.87,0.6125453
292.jpg,0.75,0.6158034
293.jpg,0.73,0.5243484
294.jpg,0.91,0.7060603
295.jpg,0.83,0.52907634
296.jpg,0.85,0.43248
297.jpg,0.27,0.21028161
298.jpg,0.82,0.5377222
299.jpg,0.27,0.47920203
300.jpg,0.5,0.466128
301.jpg,0.46,0.4931934
302.jpg,0.18,0.35637322
303.jpg,0.2,0.42926547
304.jpg,0.39,0.59013647
305.jpg,0.02,0.4680635
306.jpg,0.74,0.41403708
307.jpg,0.24,0.35929972
308.jpg,0.51,0.63732326
309.jpg,0.6,0.4311716
310.jpg,0.51,0.3649173
311.jpg,0.23,0.3434653
312.jpg,0.66,0.48654285
313.jpg,0.6,0.42640996
314.jpg,0.25,0.5028365
315.jpg,0.1,0.37536845
316.jpg,0.28,0.5007793
317.jpg,0.0,0.429359
318.jpg,0.44,0.45062017
319.jpg,0.36,0.5424578
320.jpg,0.36,0.37200853
321.jpg,0.43,0.4479186
322.jpg,0.38,0.31367162
323.jpg,0.52,0.39398718
324.jpg,0.57,0.32485548
325.jpg,0.34,0.3539285
326.jpg,0.0,0.3671938
327.jpg,0.61,0.4105968
328.jpg,0.8,0.7349141
329.jpg,0.75,0.4389745
330.jpg,0.85,0.5687599
331.jpg,0.8,0.73277295
332.jpg,0.23,0.35825714
333.jpg,0.88,0.5692658
334.jpg,0.22,0.4105096
335.jpg,0.86,0.5327726
336.jpg,0.83,0.56106293
337.jpg,0.63,0.48281714
338.jpg,0.6,0.39643884
339.jpg,0.23,0.4579572
340.jpg,0.43,0.4698322
341.jpg,0.28,0.2925652
342.jpg,0.63,0.4737832
343.jpg,0.79,0.54111135
344.jpg,0.7,0.5496584
345.jpg,0.07,0.35187516
346.jpg,0.36,0.4648754
347.jpg,0.17,0.28594935
348.jpg,0.37,0.4768974
349.jpg,0.42,0.47124892
350.jpg,0.03,0.42643976
351.jpg,0.8,0.5858232
352.jpg,0.87,0.516448
353.jpg,0.43,0.3919777
354.jpg,0.77,0.3219021
355.jpg,0.74,0.60080355
356.jpg,0.68,0.53162736
357.jpg,0.34,0.31949025
358.jpg,0.67,0.48785317
359.jpg,0.37,0.27923912
360.jpg,0.53,0.43651053
361.jpg,0.19,0.34140754
362.jpg,0.25,0.3687321
363.jpg,0.4,0.42017275
364.jpg,0.49,0.41671562
365.jpg,0.59,0.49707335
366.jpg,0.54,0.35628608
367.jpg,0.68,0.45112514
368.jpg,0.67,0.41990876
369.jpg,0.81,0.32460138
370.jpg,0.79,0.40323642
371.jpg,0.95,0.5777325
372.jpg,0.84,0.6022859
373.jpg,0.76,0.4238755
374.jpg,0.86,0.3811221
375.jpg,0.1,0.39970526
376.jpg,0.63,0.5214951
377.jpg,0.43,0.5324218
378.jpg,0.38,0.37956738
379.jpg,0.3,0.3424018
380.jpg,0.48,0.47112903
381.jpg,0.28,0.40276572
382.jpg,0.42,0.53391546
383.jpg,0.36,0.4833679
384.jpg,0.54,0.47688678
385.jpg,0.26,0.4547783
386.jpg,0.06,0.25160304
387.jpg,0.53,0.6679895
388.jpg,0.43,0.61590916
389.jpg,0.14,0.44067267
390.jpg,0.5,0.26186138
391.jpg,0.4,0.41771483
392.jpg,0.29,0.4422788
393.jpg,0.3,0.38626733
394.jpg,0.64,0.5574199
395.jpg,0.75,0.7480104
396.jpg,0.43,0.4278978
397.jpg,0.51,0.42009416
398.jpg,0.88,0.46685192
399.jpg,0.33,0.4438165
400.jpg,0.56,0.5998282
401.jpg,0.31,0.4877166
402.jpg,0.72,0.5227854
403.jpg,0.35,0.35989553
404.jpg,0.41,0.55705386
405.jpg,0.51,0.55393046
406.jpg,0.49,0.42654917
407.jpg,0.67,0.3382955
408.jpg,0.59,0.53831697
409.jpg,0.26,0.36904946
410.jpg,0.28,0.38228032
411.jpg,0.55,0.2424262
412.jpg,0.29,0.42435238
413.jpg,0.35,0.45038712
414.jpg,0.15,0.4047251
415.jpg,0.5,0.39948484
416.jpg,0.46,0.34927428
417.jpg,0.5,0.53205
418.jpg,0.43,0.42539522
419.jpg,0.54,0.37345585
